login__passwordLengthValidation;Minimum 6 characters;;
login__Itemrequired;required;;
login__title;Sign in to access the administration interface;;
login__error;An error occured, please try again later;;
login__insufficientRole;Insufficient privileges, your account does not have access to this interface;;
login__failure;Failure to connect,;;
common__agency;Agency;;
common__residence;Residence;;
common__cp;PS;;CP = AbrŽviation pour code postal (Zipcode ?)
common__city;City;;
common__street;Address;;
common__validate;Submit;;
common__save;Save;;
common__deny;Cancel;;
common__scope;Scope;;
common__warning;Warning;;
common__codeScope;Scope code;;
common__scopeName;Scope name;;
common__emptyList;Empty list;;
common__search;Search;;
scope__addAdresses;Add addresses;;
scope__selectAll;Select all;;
scope__unSelectAll;Unselect all;;
scope__updateScope;Edit scope;;
scope__adressList;Address list;;
scope__addOneAdress;Add address;;
scope__textWarning;Warning, your last edits have not been saved;;
scope__question;Continue without saving ?;;
scope__continue;Continue;;
scope__cancel;Cancel;;
scope__newScope;New Scope;;
scope__removalWarning;You are about to delete the scope;;
scope__scopes;Scopes;;
scope__places__loading;Loading ...;;
scope__places__deleteAllWarning;Warning, all addresses will be deleted.;;
scope__places__deleteSuccess;All addresses were deleted successfully;;
scope__places__unSelectThisPage;Unselect this page;;
scope__places__selectThisPage;Select this page;;
scope__places__addAllWarning;Do you still want to add all addresses ?;;
scope__places__addSuccess;Addresses added successfully;;
scope__places__warning;Warning;;
scope__categories__warning;Warning;;
scope__categories__warningSubtitle;You are about to remove category {0} from this scope;;
scope__categories__addCategory;Add;;
scope__categories__cancel;Cancel;;
scope__categories__add;Add a category;;
scope__categories__noData;This scope does not have a category;;
scope__categories__isAdding;Adding category...;;
scope__categories__isRemoving;Deleting category...;;
scope__categories__selectLabel;Select category;;
scope__scopeId;Scope Id;;
scope__scopeUpdateSuccess;The scope has been updated;;
scope__scopeUpdateError;An error occured whole updating the scope;;
user__activation;You are about to activate this user account;;
user__deactivation;You are about to deactivate this user profile as well as their role;;
user__recipients__validation;The phone number entered is invalid;;
user__recipients__withTelephoneCode;With phone code;;
user__recipients__withoutTelephoneCode;Without phone code;;
user__recipients__errorLength;You can only have 3 phone numbers;;C'est pour le bouton d'alerte SOS, on limite ˆ 3 numŽros de tŽlŽphones en destinataire de l'alerte, ce message apparait si on tente d'en ajlouter plus.
user__passwordSuccess;Password updated successfully;;
user__passwordFail;An error occured while updating the password;;
user__errorLoading;An error occured while loading users;;
user__NewRole;New role;;
user__noRole;This user does not have any role;;
user__addRole;Add a role;;
user__removeRole;Delete role;;
user__emailValidation;Enter a valid email address;;
filter__byAgencies;Filter by agency;;
filter__byResidencies;Filter by residence;;
filter__byCps;Filter by postal code;;
filter__byCities;Filter by city;;
filter__byRoles;Filter by role;;
failed;Action failed;;
success;Action successful;;
